"county","year","total_cases","total_deaths"
"Barrow",2020,5434,67
"Barrow",2021,16328,206
"Barrow",2022,21998,256
"Barry",2020,4787,70
"Barry",2021,15682,228
"Barry",2022,21162,301
"Bartholomew",2020,5541,93
"Bartholomew",2021,14569,208
"Bartholomew",2022,21574,250
"Barton",2020,3005,29
"Barton",2021,6758,113
"Barton",2022,9367,148
"Bartow",2020,8085,130
"Bartow",2021,22953,376
"Bartow",2022,29577,447
"Bastrop",2020,3812,47
"Bastrop",2021,15008,191
"Bastrop",2022,21971,239
"Bates",2020,845,12
"Bates",2021,2764,63
"Bates",2022,3766,96
"Bath",2020,673,8
"Bath",2021,2596,49
"Bath",2022,4116,68
"Baxter",2020,2114,71
"Baxter",2021,6672,200
"Baxter",2022,8848,247
"Bay",2020,18126,396
"Bay",2021,52154,1175
"Bay",2022,73422,1415
"Bayamon",2020,8098,0
"Bayamon",2021,21825,0
"Bayamon",2022,39631,0
"Bayfield",2020,964,18
"Bayfield",2021,2259,33
"Bayfield",2022,3425,41
"Baylor",2020,214,7
"Baylor",2021,606,24
"Baylor",2022,818,32
"Beadle",2020,2509,35
"Beadle",2021,3721,49
"Beadle",2022,4596,60
"Bear Lake",2020,274,2
"Bear Lake",2021,772,15
"Bear Lake",2022,931,16
"Beaufort",2020,12120,166
"Beaufort",2021,36948,464
"Beaufort",2022,56245,551
"Beauregard",2020,1977,54
"Beauregard",2021,6330,129
"Beauregard",2022,9271,143
"Beaver",2020,9217,260
"Beaver",2021,31794,628
"Beaver",2022,43322,772
"Beaverhead",2020,769,8
"Beaverhead",2021,1611,23
"Beaverhead",2022,2137,30
"Becker",2020,2680,36
"Becker",2021,6618,81
"Becker",2022,8934,93
"Beckham",2020,1964,22
"Beckham",2021,4248,84
"Beckham",2022,5983,106
"Bedford",2020,10666,189
"Bedford",2021,30286,606
"Bedford",2022,43324,752
"Bee",2020,2678,46
"Bee",2021,5476,136
"Bee",2022,8418,153
"Belknap",2020,1934,47
"Belknap",2021,9284,146
"Belknap",2022,14152,178
"Bell",2020,15025,194
"Bell",2021,47010,871
"Bell",2022,76158,1050
"Belmont",2020,3169,38
"Belmont",2021,11473,246
"Belmont",2022,15805,309
"Beltrami",2020,2871,41
"Beltrami",2021,8803,111
"Beltrami",2022,12179,128
"Ben Hill",2020,1508,44
"Ben Hill",2021,3323,111
"Ben Hill",2022,4344,122
"Benewah",2020,433,4
"Benewah",2021,1766,30
"Benewah",2022,2397,41
"Bennett",2020,355,8
"Bennett",2021,533,9
"Bennett",2022,789,14
"Bennington",2020,501,3
"Bennington",2021,5524,45
"Bennington",2022,10153,71
"Benson",2020,991,16
"Benson",2021,1478,22
"Benson",2022,1980,23
"Bent",2020,1126,12
"Bent",2021,1958,42
"Bent",2022,2560,47
"Benton",2020,41100,632
"Benton",2021,111322,1547
"Benton",2022,170367,1913
"Benzie",2020,658,26
"Benzie",2021,2407,54
"Benzie",2022,3514,68
"Bergen",2020,47833,2330
"Bergen",2021,161029,3074
"Bergen",2022,239353,3458
"Berkeley",2020,15544,162
"Berkeley",2021,57566,580
"Berkeley",2022,88487,745
"Berks",2020,23758,571
"Berks",2021,77311,1320
"Berks",2022,103652,1595
"Berkshire",2020,2907,138
"Berkshire",2021,13350,344
"Berkshire",2022,26169,378
"Bernalillo",2020,41121,573
"Bernalillo",2021,98677,1334
"Bernalillo",2022,149543,1854
"Berrien",2020,10559,220
"Berrien",2021,29098,468
"Berrien",2022,40299,644
"Bertie",2020,1204,27
"Bertie",2021,2707,54
"Bertie",2022,4277,68
"Bethel Census Area",2020,2427,9
"Bethel Census Area",2021,6945,32
"Bethel Census Area",2022,10362,41
"Bexar",2020,115697,1739
"Bexar",2021,339899,5341
"Bexar",2022,565111,6131
"Bibb",2020,12127,307
"Bibb",2021,32500,768
"Bibb",2022,44072,893
"Bienville",2020,1202,47
"Bienville",2021,2641,100
"Bienville",2022,3992,110
"Big Horn",2020,2838,79
"Big Horn",2021,5645,142
"Big Horn",2022,7566,157
"Big Stone",2020,434,3
"Big Stone",2021,1014,7
"Big Stone",2022,1425,9
"Billings",2020,49,0
"Billings",2021,121,1
"Billings",2022,145,1
"Bingham",2020,3649,46
"Bingham",2021,7419,136
"Bingham",2022,9836,154
"Black Hawk",2020,12820,218
"Black Hawk",2021,24357,399
"Black Hawk",2022,33140,480
"Blackford",2020,906,22
"Blackford",2021,2444,52
"Blackford",2022,3118,69
"Bladen",2020,1843,24
"Bladen",2021,5962,98
"Bladen",2022,9365,127
"Blaine",2020,2841,38
"Blaine",2021,6740,88
"Blaine",2022,10662,108
"Blair",2020,7956,176
"Blair",2021,23099,499
"Blair",2022,29924,616
"Blanco",2020,284,7
"Blanco",2021,1389,28
"Blanco",2022,2568,34
"Bland",2020,482,6
"Bland",2021,1185,18
"Bland",2022,1800,24
"Bleckley",2020,1038,35
"Bleckley",2021,2464,86
"Bleckley",2022,3353,100
"Bledsoe",2020,1565,9
"Bledsoe",2021,3657,38
"Bledsoe",2022,4669,57
"Blount",2020,14669,161
"Blount",2021,37108,523
"Blount",2022,54315,683
"Blue Earth",2020,5040,28
"Blue Earth",2021,12732,82
"Blue Earth",2022,18332,101
"Boise",2020,245,2
"Boise",2021,839,11
"Boise",2022,1094,14
"Bolivar",2020,3450,95
"Bolivar",2021,6743,154
"Bolivar",2022,9354,179
"Bollinger",2020,961,12
"Bollinger",2021,2014,34
"Bollinger",2022,2635,41
"Bon Homme",2020,1477,23
"Bon Homme",2021,1854,31
"Bon Homme",2022,2292,39
"Bond",2020,1554,16
"Bond",2021,3049,34
"Bond",2022,4370,37
"Bonner",2020,1968,14
"Bonner",2021,6745,146
"Bonner",2022,8941,188
"Bonneville",2020,10383,117
"Bonneville",2021,22500,246
"Bonneville",2022,30942,286
"Boone",2020,37290,347
"Boone",2021,91867,925
"Boone",2022,137458,1178
"Borden",2020,18,0
"Borden",2021,47,2
"Borden",2022,100,2
"Bosque",2020,805,17
"Bosque",2021,2591,59
"Bosque",2022,4130,70
"Bossier",2020,8979,199
"Bossier",2021,23722,413
"Bossier",2022,37689,494
"Botetourt",2020,1316,18
"Botetourt",2021,4825,66
"Botetourt",2022,7607,101
"Bottineau",2020,614,20
"Bottineau",2021,1187,24
"Bottineau",2022,1598,26
"Boulder",2020,14729,182
"Boulder",2021,39792,327
"Boulder",2022,68435,373
"Boundary",2020,569,7
"Boundary",2021,1743,50
"Boundary",2022,2107,62
"Bourbon",2020,1971,4
"Bourbon",2021,6775,86
"Bourbon",2022,10393,111
"Bowie",2020,4059,123
"Bowie",2021,13565,351
